"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","pitcher"
2021,40,5,108,61,33,2,29,413,583,0.232,0.292,0.463,0.755,0.321,594835
2021,41,2,243,99,27,1,24,532,726,0.221,0.267,0.369,0.636,0.276,543037
2021,33,4,134,54,18,1,11,284,405,0.228,0.299,0.372,0.671,0.294,669456
2021,41,7,158,94,28,2,15,480,667,0.225,0.28,0.349,0.629,0.276,608331
2021,26,6,85,34,11,0,12,233,322,0.197,0.276,0.359,0.635,0.279,656427
2021,43,8,199,70,35,5,28,491,680,0.219,0.278,0.424,0.702,0.301,506433
2021,23,7,67,53,14,1,9,230,337,0.251,0.318,0.391,0.709,0.31,571510
2021,59,4,178,108,35,1,21,524,752,0.239,0.303,0.385,0.688,0.3,608566
2021,37,2,143,105,38,3,24,492,701,0.257,0.298,0.432,0.73,0.313,547943
2021,37,11,124,75,33,2,24,429,611,0.238,0.298,0.432,0.73,0.314,518516
2021,49,4,228,97,29,4,20,572,775,0.208,0.262,0.342,0.604,0.264,592332
2021,31,7,114,68,20,2,16,308,452,0.256,0.319,0.43,0.749,0.324,628317
2021,34,6,84,46,22,1,20,268,397,0.249,0.325,0.485,0.81,0.346,605164
2021,50,2,201,87,27,4,27,521,718,0.218,0.274,0.392,0.666,0.288,608337
2021,38,9,223,105,29,5,26,536,748,0.235,0.283,0.402,0.685,0.296,605400
2021,51,10,201,107,40,3,21,606,838,0.22,0.277,0.36,0.637,0.278,645261
2021,36,2,120,105,29,0,30,495,697,0.249,0.29,0.429,0.719,0.308,425844
2021,44,7,212,93,16,3,18,529,710,0.197,0.255,0.313,0.568,0.251,605540
2021,21,3,146,65,22,1,15,362,489,0.222,0.26,0.37,0.63,0.272,477132
2021,27,0,123,31,13,1,10,258,340,0.176,0.241,0.319,0.56,0.246,607192
2021,71,7,192,121,34,7,19,540,799,0.251,0.324,0.397,0.721,0.315,622491
