"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter"
2023,3,0,25,4,2,1,3,52,65,0.161,0.2,0.371,0.571,0.241,613564
2023,45,4,136,78,20,2,13,354,516,0.242,0.314,0.377,0.691,0.305,663886
2023,39,18,65,119,25,4,10,433,648,0.267,0.332,0.374,0.706,0.313,643446
2023,51,7,89,52,14,3,15,277,419,0.233,0.339,0.413,0.752,0.331,592626
2023,6,1,32,16,2,0,5,83,113,0.217,0.265,0.377,0.642,0.279,542583
2023,58,21,151,54,21,2,46,449,651,0.215,0.31,0.5,0.81,0.345,624413
2023,35,6,71,53,18,0,15,251,378,0.255,0.336,0.442,0.778,0.339,641584
2023,39,11,56,63,24,5,8,264,414,0.275,0.362,0.434,0.796,0.349,453568
2023,41,5,63,70,22,0,23,293,454,0.282,0.355,0.505,0.86,0.369,527038
2023,46,10,90,88,22,8,18,363,555,0.273,0.346,0.457,0.803,0.348,670770
2023,66,3,98,108,28,2,25,439,671,0.271,0.346,0.449,0.795,0.345,650402
2023,28,6,68,50,10,0,10,230,334,0.233,0.311,0.367,0.678,0.301,592178
2023,26,2,119,55,12,2,19,268,384,0.247,0.302,0.452,0.754,0.324,665862
2023,62,9,99,103,30,0,26,446,676,0.263,0.34,0.441,0.781,0.34,665489
2023,61,5,126,100,38,1,17,387,609,0.287,0.365,0.455,0.82,0.357,661388
2023,28,2,115,122,30,3,20,397,602,0.306,0.341,0.474,0.815,0.35,666182
2023,34,2,150,55,27,2,33,325,478,0.265,0.32,0.559,0.879,0.369,502110
2023,60,20,105,68,24,0,31,371,574,0.249,0.354,0.486,0.84,0.363,670623
2023,54,16,109,71,23,0,17,350,531,0.241,0.341,0.401,0.742,0.329,663697
2023,3,1,13,14,6,0,0,56,80,0.263,0.3,0.342,0.642,0.283,602074
2023,30,2,100,42,19,1,14,269,377,0.22,0.286,0.403,0.689,0.299,664913
2023,52,1,158,65,23,1,30,395,567,0.232,0.303,0.455,0.758,0.326,663728
2023,64,12,137,87,33,2,31,456,685,0.251,0.334,0.465,0.799,0.345,596019
2023,16,0,80,42,8,1,4,220,291,0.2,0.244,0.28,0.524,0.233,606992
2023,21,2,81,39,12,0,4,186,264,0.228,0.295,0.328,0.623,0.278,641820
2023,41,2,69,16,12,0,5,162,238,0.169,0.319,0.308,0.627,0.29,572761
2023,42,6,128,86,23,1,18,416,592,0.235,0.297,0.381,0.678,0.297,547989
2023,49,7,106,68,14,0,15,313,466,0.237,0.328,0.38,0.708,0.315,624424
2023,31,2,132,70,18,1,17,318,457,0.25,0.304,0.417,0.721,0.313,643265
2023,28,1,94,83,23,0,18,335,488,0.27,0.314,0.438,0.752,0.324,650391
2023,82,3,162,103,31,0,25,438,682,0.266,0.358,0.444,0.802,0.35,502671
2023,34,0,84,44,9,1,13,247,348,0.213,0.29,0.373,0.663,0.291,642133
2023,23,0,50,7,5,0,13,142,190,0.15,0.253,0.413,0.666,0.287,518626
2023,73,6,95,77,14,2,17,327,516,0.252,0.366,0.41,0.776,0.345,664774
2023,15,7,64,47,20,1,4,246,340,0.226,0.276,0.333,0.609,0.269,649557
2023,97,4,167,88,27,3,54,440,713,0.281,0.383,0.6,0.983,0.413,621566
2023,14,13,139,93,21,0,23,413,577,0.249,0.284,0.413,0.697,0.301,521692
2023,45,11,98,64,24,7,10,360,521,0.226,0.309,0.372,0.681,0.301,630105
2023,77,9,84,137,35,4,41,429,732,0.336,0.414,0.593,1.007,0.428,660670
2023,15,8,69,65,7,1,5,239,340,0.246,0.297,0.322,0.619,0.276,516782
2023,81,6,153,48,17,1,36,386,575,0.209,0.329,0.469,0.798,0.344,571970
2023,35,1,114,75,19,4,11,271,416,0.287,0.349,0.445,0.794,0.344,682985
2023,36,8,213,104,29,2,26,473,678,0.254,0.302,0.429,0.731,0.316,606192
2023,20,2,47,56,5,2,3,236,324,0.219,0.272,0.278,0.55,0.248,516416
2023,12,2,49,28,5,0,1,166,214,0.17,0.224,0.21,0.434,0.2,595978
2023,37,11,129,93,30,2,21,422,616,0.257,0.315,0.428,0.743,0.322,683734
2023,37,5,87,97,29,1,26,358,553,0.299,0.353,0.513,0.866,0.37,641355
2023,57,7,110,118,31,2,19,432,666,0.282,0.351,0.435,0.786,0.343,593428
2023,25,4,166,91,37,4,15,439,615,0.251,0.286,0.404,0.69,0.298,678662
2023,24,9,126,82,18,4,9,401,547,0.22,0.267,0.323,0.59,0.26,595879
2023,75,11,145,102,30,6,24,434,682,0.272,0.364,0.463,0.827,0.359,607043
2023,40,3,68,78,23,6,17,321,488,0.279,0.342,0.472,0.814,0.35,677551
2023,15,0,44,19,8,0,2,105,149,0.216,0.295,0.321,0.616,0.276,676480
2023,64,13,92,64,24,1,31,294,491,0.29,0.401,0.577,0.978,0.416,670541
2023,59,5,127,111,25,1,21,460,682,0.256,0.326,0.401,0.727,0.319,543807
2023,37,2,124,34,13,0,24,301,411,0.191,0.268,0.419,0.687,0.296,519317
2023,60,3,171,75,29,5,16,413,601,0.232,0.313,0.394,0.707,0.31,669004
2023,91,8,87,106,28,4,25,461,723,0.261,0.362,0.439,0.801,0.351,608324
2023,71,6,168,65,29,2,24,442,639,0.214,0.308,0.4,0.708,0.311,642715
2023,9,1,24,23,4,0,3,112,152,0.211,0.263,0.303,0.566,0.252,669304
2023,26,12,177,69,36,1,38,409,591,0.26,0.308,0.535,0.843,0.356,673357
2023,2,0,6,2,0,0,0,13,17,0.133,0.235,0.133,0.368,0.186,547379
2023,44,34,117,103,32,0,12,441,666,0.25,0.338,0.366,0.704,0.315,664034
2023,61,15,89,79,21,2,19,355,552,0.254,0.357,0.426,0.783,0.345,669257
2023,42,1,102,53,23,3,15,318,455,0.228,0.301,0.408,0.709,0.308,656775
2023,12,1,25,14,5,0,0,54,86,0.26,0.372,0.329,0.701,0.322,668843
2023,26,4,50,27,5,0,1,133,196,0.199,0.321,0.247,0.568,0.271,608385
