"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter"
2020,13,3,22,9,3,0,3,75,106,0.167,0.292,0.3,0.592,0.272,642180
2020,18,1,25,28,11,0,6,110,174,0.29,0.368,0.477,0.845,0.365,570482
2020,17,3,54,32,5,0,22,155,234,0.276,0.338,0.607,0.945,0.393,572228
2020,19,4,64,9,4,0,10,133,179,0.147,0.257,0.365,0.622,0.273,596142
2020,26,1,35,18,5,1,5,102,158,0.221,0.354,0.389,0.743,0.332,458731
2020,14,2,28,8,7,0,4,58,93,0.247,0.376,0.494,0.87,0.375,519317
2020,22,2,28,22,8,0,3,103,160,0.243,0.356,0.368,0.724,0.326,650402
2020,10,2,33,14,3,0,9,76,114,0.255,0.333,0.549,0.882,0.371,592450
2020,9,9,54,28,5,1,3,135,190,0.215,0.289,0.308,0.597,0.27,645302
2020,40,1,38,20,10,2,6,131,210,0.225,0.376,0.414,0.79,0.351,543305
2020,5,1,11,5,7,1,2,26,47,0.366,0.447,0.732,1.179,0.486,664057
2020,19,0,40,26,9,3,8,148,213,0.237,0.305,0.438,0.743,0.319,452678
2020,13,2,24,17,3,0,1,68,104,0.236,0.346,0.303,0.649,0.3,605131
2020,12,1,36,29,11,1,12,146,212,0.266,0.311,0.513,0.824,0.347,527038
2020,11,4,19,20,8,0,2,84,129,0.263,0.349,0.386,0.735,0.327,435559
2020,12,0,45,29,9,0,16,144,210,0.273,0.314,0.561,0.875,0.366,572041
2020,28,3,55,29,14,4,10,135,223,0.297,0.395,0.568,0.963,0.407,573262
2020,13,3,42,17,5,0,3,98,139,0.203,0.295,0.317,0.612,0.276,519346
2020,4,2,6,7,1,0,0,36,50,0.182,0.28,0.205,0.485,0.233,623168
2020,5,0,17,19,4,0,2,68,98,0.269,0.306,0.376,0.682,0.298,435062
2020,11,5,35,12,4,0,7,99,138,0.189,0.283,0.393,0.676,0.295,592626
2020,6,2,31,18,8,1,5,108,148,0.229,0.27,0.407,0.677,0.29,571771
2020,3,0,13,10,3,1,2,44,63,0.267,0.302,0.45,0.752,0.32,516770
2020,13,4,47,24,12,0,8,130,191,0.253,0.319,0.46,0.779,0.334,543063
2020,17,1,37,37,12,1,15,149,232,0.304,0.358,0.579,0.937,0.394,608369
2020,18,6,26,32,9,1,4,105,175,0.305,0.4,0.457,0.857,0.376,457759
2020,15,1,37,34,4,1,4,118,177,0.267,0.333,0.379,0.712,0.314,643289
2020,11,1,32,20,11,1,4,127,175,0.221,0.274,0.374,0.648,0.281,594809
2020,0,0,5,0,0,0,0,10,10,0,0,0,0,0,663411
