"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","pitcher"
2019,12,1,30,18,8,1,10,80,130,0.316,0.385,0.658,1.043,0.426,542881
2019,45,10,111,89,27,2,29,362,564,0.289,0.358,0.521,0.879,0.369,605347
2019,56,6,148,134,50,3,23,595,867,0.261,0.314,0.416,0.73,0.311,594835
2019,54,9,128,115,19,2,30,528,757,0.239,0.303,0.402,0.705,0.301,571666
2019,34,3,97,40,16,4,7,216,320,0.237,0.325,0.396,0.721,0.311,605130
2019,39,4,97,62,18,5,21,289,438,0.268,0.34,0.499,0.839,0.352,601713
2019,31,5,151,82,17,1,13,366,515,0.236,0.289,0.357,0.646,0.279,605540
2019,58,7,150,99,30,0,19,431,644,0.256,0.331,0.406,0.737,0.318,430935
2019,17,3,104,54,23,3,18,248,366,0.283,0.322,0.523,0.845,0.351,471911
2019,33,3,68,43,10,1,9,215,314,0.227,0.315,0.367,0.682,0.298,656794
2019,12,2,31,10,4,1,4,96,129,0.165,0.256,0.322,0.578,0.253,533167
2019,58,4,231,80,28,5,26,525,726,0.209,0.277,0.384,0.661,0.282,608337
2019,52,14,165,115,39,3,28,494,745,0.272,0.337,0.462,0.799,0.339,543699
2019,8,0,8,12,7,1,7,51,86,0.346,0.407,0.731,1.138,0.46,429722
2019,64,6,146,115,27,2,23,504,741,0.249,0.32,0.398,0.718,0.309,489119
2019,25,2,55,29,7,0,7,151,221,0.222,0.317,0.366,0.683,0.299,594965
2019,1,0,4,0,1,0,0,5,7,0.167,0.286,0.333,0.619,0.272,573589
2019,62,16,153,105,34,4,14,439,674,0.263,0.349,0.404,0.753,0.327,605513
2019,25,4,81,68,32,2,23,328,482,0.276,0.32,0.508,0.828,0.344,592644
2019,49,4,138,67,14,3,21,315,473,0.25,0.334,0.448,0.782,0.333,519141
2019,28,5,146,92,26,2,23,441,617,0.245,0.285,0.414,0.699,0.295,501381
2019,19,8,122,72,28,1,22,351,501,0.259,0.299,0.462,0.761,0.319,621381
2019,37,10,103,85,39,6,29,376,582,0.297,0.354,0.555,0.909,0.377,592716
2019,24,12,100,72,23,3,15,336,485,0.252,0.307,0.416,0.723,0.308,641154
2019,7,2,34,12,6,1,2,99,129,0.175,0.233,0.292,0.525,0.228,605525
2019,38,9,162,102,48,5,21,515,738,0.255,0.302,0.43,0.732,0.309,605397
2019,60,6,165,96,40,1,29,489,721,0.253,0.322,0.45,0.772,0.327,605164
2019,2,0,0,2,0,0,0,2,6,0.5,0.667,0.5,1.167,0.52,664875
2019,28,2,80,52,15,1,10,247,355,0.24,0.304,0.385,0.689,0.296,572140
2019,16,2,124,39,16,1,5,248,327,0.197,0.242,0.304,0.546,0.236,521230
2019,45,6,145,122,43,5,32,531,784,0.276,0.323,0.479,0.802,0.336,519144
2019,8,1,13,15,7,0,2,47,80,0.338,0.412,0.521,0.933,0.396,491646
2019,6,4,35,28,6,0,2,107,153,0.252,0.301,0.336,0.637,0.278,669160
2019,1,0,2,1,0,0,2,5,9,0.375,0.444,1.125,1.569,0.604,592705
2019,28,5,87,42,9,3,8,243,338,0.203,0.281,0.331,0.612,0.268,628711
2019,16,1,74,52,7,0,6,187,269,0.258,0.305,0.357,0.662,0.287,453178
2019,27,1,72,54,9,0,16,203,310,0.28,0.345,0.482,0.827,0.349,641482
2019,3,0,3,0,0,0,0,4,7,0,0.429,0,0.429,0.296,571521
2019,27,0,49,36,8,0,5,133,209,0.269,0.364,0.396,0.76,0.332,407845
2019,7,1,15,10,10,0,5,38,71,0.397,0.465,0.794,1.259,0.509,623430
2019,29,3,58,38,16,0,7,175,268,0.258,0.347,0.415,0.762,0.329,642152
2019,26,2,34,30,13,1,9,119,200,0.308,0.405,0.552,0.957,0.401,642231
2019,17,3,24,17,5,2,1,74,119,0.253,0.378,0.374,0.752,0.334,597113
2019,24,4,47,41,7,2,5,157,240,0.259,0.346,0.382,0.728,0.318,518715
2019,23,0,59,31,2,1,5,164,226,0.192,0.274,0.286,0.56,0.25,623184
2019,1,1,1,1,0,0,1,1,5,0.667,0.8,1.667,2.467,0.844,519301
2019,8,3,18,10,6,0,6,72,105,0.234,0.314,0.489,0.803,0.336,519326
2019,0,0,3,0,0,0,0,9,9,0,0,0,0,0,642203
2019,10,1,20,12,5,2,3,61,94,0.265,0.351,0.482,0.833,0.351,594577
2019,14,2,20,13,2,1,4,57,93,0.26,0.387,0.468,0.855,0.367,642840
2019,1,0,1,2,1,0,1,4,9,0.5,0.556,1,1.556,0.621,663969
2019,13,1,18,16,4,0,2,43,79,0.338,0.456,0.492,0.948,0.41,622864
2019,37,4,101,29,7,1,10,186,274,0.202,0.321,0.369,0.69,0.303,657624
2019,5,1,14,6,2,1,2,39,56,0.22,0.304,0.42,0.724,0.308,596074
2019,14,1,11,15,8,0,3,44,85,0.371,0.482,0.614,1.096,0.459,657585
2019,18,2,47,15,5,0,6,93,139,0.218,0.331,0.412,0.743,0.321,543351
2019,21,2,29,23,9,0,5,100,160,0.27,0.375,0.445,0.82,0.354,656887
2019,7,0,3,1,0,0,1,12,21,0.143,0.429,0.357,0.786,0.364,621052
2019,1,0,2,1,0,0,0,3,5,0.25,0.4,0.25,0.65,0.312,474039
2019,27,3,80,29,7,0,8,195,269,0.184,0.275,0.314,0.589,0.26,543507
2019,2,0,1,1,0,0,0,1,4,0.5,0.75,0.5,1.25,0.562,606127
2019,4,0,8,1,2,0,1,13,21,0.235,0.381,0.529,0.91,0.381,527055
2019,1,0,2,0,0,0,0,3,4,0,0.25,0,0.25,0.172,621048
2019,0,1,3,1,0,0,0,3,5,0.25,0.4,0.25,0.65,0.318,642857
2019,10,4,28,34,10,0,6,153,217,0.246,0.295,0.384,0.679,0.291,573046
2019,19,3,38,19,5,0,4,76,126,0.269,0.397,0.433,0.83,0.362,656945
2019,2,0,2,1,0,0,1,4,8,0.333,0.5,0.833,1.333,0.524,606478
2019,21,0,47,22,9,0,9,122,183,0.247,0.333,0.469,0.802,0.339,608678
2019,1,0,2,0,0,0,0,3,4,0,0.25,0,0.25,0.172,592105
2019,0,0,2,1,2,0,0,3,6,0.5,0.5,0.833,1.333,0.551,516769
2019,1,0,1,0,0,0,0,4,5,0,0.2,0,0.2,0.138,657558
2019,11,2,46,27,7,1,8,131,187,0.247,0.299,0.437,0.736,0.311,656547
