"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","pitcher"
2022,37,12,197,103,23,0,22,574,771,0.205,0.256,0.328,0.584,0.259,506433
2022,67,11,194,129,24,2,11,583,827,0.222,0.295,0.303,0.598,0.271,664285
2022,44,2,126,64,21,3,16,354,504,0.227,0.298,0.391,0.689,0.303,641816
2022,31,4,171,117,25,2,12,542,733,0.223,0.261,0.317,0.578,0.255,608331
2022,27,3,73,113,30,0,14,398,585,0.283,0.32,0.413,0.733,0.321,425844
2022,51,13,245,91,24,6,23,591,799,0.196,0.26,0.339,0.599,0.266,669203
2022,24,3,68,49,18,3,15,245,357,0.258,0.314,0.467,0.781,0.338,543294
2022,54,7,144,138,35,3,16,551,804,0.258,0.315,0.378,0.693,0.306,425794
2022,44,2,221,85,23,2,14,491,661,0.202,0.257,0.314,0.571,0.254,660271
2022,49,7,128,143,35,5,27,447,713,0.32,0.373,0.511,0.884,0.383,571578
2022,37,2,199,123,29,2,18,582,793,0.228,0.266,0.344,0.61,0.268,669456
2022,54,9,147,99,39,2,17,426,646,0.269,0.341,0.431,0.772,0.339,664141
2022,13,1,51,30,9,0,7,140,200,0.247,0.3,0.409,0.709,0.31,656731
2022,50,9,113,101,50,3,25,462,700,0.279,0.34,0.484,0.824,0.357,518516
2022,46,5,190,82,29,2,25,554,743,0.199,0.254,0.355,0.609,0.268,663474
2022,38,3,68,50,9,1,8,223,332,0.234,0.328,0.354,0.682,0.307,640444
2022,47,6,126,70,19,2,15,316,475,0.251,0.335,0.412,0.747,0.33,676879
2022,21,3,77,38,4,1,9,213,289,0.196,0.263,0.321,0.584,0.261,605130
2022,10,1,9,8,2,0,1,16,38,0.407,0.579,0.593,1.172,0.507,641394
2022,8,1,15,14,2,1,2,72,100,0.209,0.28,0.319,0.599,0.269,666168
2022,7,2,21,4,5,0,1,39,58,0.204,0.328,0.367,0.695,0.313,664776
2022,12,4,39,15,6,1,10,111,159,0.224,0.302,0.49,0.792,0.341,664294
2022,27,2,46,32,16,0,7,178,262,0.236,0.321,0.395,0.716,0.317,600921
2022,44,3,202,61,17,1,7,394,527,0.179,0.252,0.262,0.514,0.235,675911
2022,31,3,91,76,21,0,14,297,442,0.272,0.328,0.426,0.754,0.331,608723
2022,8,0,21,11,2,0,1,42,64,0.25,0.344,0.339,0.683,0.31,572955
2022,13,3,38,36,15,0,1,106,174,0.329,0.391,0.443,0.834,0.367,596133
2022,17,4,32,23,8,0,8,131,191,0.229,0.314,0.418,0.732,0.322,650893
2022,29,7,66,21,12,1,11,169,250,0.21,0.324,0.43,0.754,0.332,596057
2022,9,1,22,15,6,1,5,80,117,0.252,0.316,0.467,0.783,0.339,664092
2022,24,3,51,26,9,1,9,141,213,0.242,0.338,0.446,0.784,0.344,598287
2022,27,1,69,55,13,2,9,185,292,0.299,0.366,0.466,0.832,0.364,592858
2022,15,0,17,12,8,0,6,64,105,0.289,0.39,0.578,0.968,0.414,592390
2022,11,1,14,12,3,0,1,59,87,0.213,0.322,0.293,0.615,0.285,592804
2022,6,3,61,47,6,0,6,175,243,0.252,0.28,0.355,0.635,0.279,573009
2022,28,2,59,49,11,2,14,230,336,0.248,0.315,0.435,0.75,0.328,570666
2022,17,2,118,28,3,0,3,181,234,0.158,0.226,0.214,0.44,0.205,621242
2022,15,5,79,34,6,2,6,189,257,0.203,0.265,0.321,0.586,0.261,493603
2022,4,3,6,7,0,1,2,35,52,0.222,0.327,0.4,0.727,0.324,667465
2022,1,1,2,6,1,0,1,14,24,0.364,0.417,0.545,0.962,0.419,424144
2022,13,5,75,37,9,0,5,202,271,0.202,0.255,0.296,0.551,0.247,543521
2022,17,2,47,27,8,0,7,168,229,0.2,0.266,0.338,0.604,0.269,572193
2022,9,0,30,18,5,0,4,75,111,0.265,0.324,0.431,0.755,0.331,543507
2022,19,8,52,36,14,0,4,176,257,0.235,0.315,0.348,0.663,0.298,571901
2022,0,0,7,1,2,0,0,10,13,0.231,0.231,0.385,0.616,0.262,458677
2022,12,4,21,15,7,0,1,57,96,0.288,0.406,0.412,0.818,0.368,663574
2022,6,0,15,13,3,0,1,54,77,0.239,0.299,0.324,0.623,0.279,605151
2022,21,4,61,19,6,0,4,137,191,0.175,0.283,0.283,0.566,0.262,663158
2022,24,8,73,37,10,1,10,191,281,0.233,0.32,0.402,0.722,0.32,664208
2022,17,3,70,40,9,0,9,194,272,0.23,0.287,0.373,0.66,0.291,607625
2022,34,3,81,23,10,0,6,187,263,0.173,0.289,0.296,0.585,0.27,502085
2022,23,2,60,53,14,1,4,180,277,0.286,0.35,0.397,0.747,0.331,608717
2022,30,1,43,22,10,2,3,109,177,0.253,0.384,0.411,0.795,0.355,622251
2022,8,0,4,8,0,0,0,18,34,0.308,0.471,0.308,0.779,0.37,641907
2022,19,0,94,16,6,0,6,191,238,0.128,0.197,0.237,0.434,0.198,664854
2022,3,0,9,10,6,0,3,46,68,0.292,0.324,0.523,0.847,0.363,681810
2022,13,4,25,37,6,1,1,136,198,0.249,0.313,0.309,0.622,0.282,657612
2022,24,5,57,44,12,0,1,172,258,0.249,0.333,0.314,0.647,0.295,621249
2022,5,1,74,33,9,2,6,169,225,0.228,0.249,0.37,0.619,0.268,455119
2022,12,0,65,23,2,1,4,139,181,0.178,0.232,0.272,0.504,0.227,519151
2022,10,4,17,25,7,2,1,85,134,0.292,0.366,0.408,0.774,0.343,621295
2022,22,5,71,38,10,0,8,174,257,0.243,0.323,0.391,0.714,0.317,571710
2022,17,6,79,32,13,1,3,191,263,0.204,0.274,0.304,0.578,0.261,593576
2022,12,4,44,35,7,0,5,124,187,0.275,0.337,0.404,0.741,0.328,644364
2022,25,4,52,38,11,0,9,173,260,0.251,0.335,0.416,0.751,0.332,543766
2022,17,2,52,9,11,0,5,121,165,0.171,0.267,0.349,0.616,0.275,650671
2022,10,2,37,32,4,0,9,121,178,0.271,0.32,0.458,0.778,0.339,489334
2022,62,7,214,97,29,5,32,545,777,0.23,0.299,0.421,0.72,0.315,592662
2022,42,6,144,90,28,1,18,422,607,0.245,0.305,0.395,0.7,0.308,593423
2022,50,3,156,95,26,5,29,463,671,0.251,0.31,0.45,0.76,0.33,640455
2022,51,7,164,122,38,3,11,557,789,0.238,0.294,0.343,0.637,0.283,657277
2022,2,0,7,7,1,0,0,24,34,0.25,0.294,0.281,0.575,0.26,607644
