"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","pitcher"
2020,23,1,92,47,12,1,10,201,295,0.258,0.319,0.421,0.74,0.32,453286
2020,17,2,94,25,14,0,14,216,288,0.197,0.25,0.405,0.655,0.279,543037
2020,26,3,56,38,12,2,9,187,277,0.246,0.325,0.419,0.744,0.324,456501
2020,16,1,44,32,4,0,9,162,224,0.217,0.277,0.367,0.644,0.281,669160
2020,3,0,1,1,0,0,0,4,8,0.2,0.5,0.2,0.7,0.372,666204
2020,7,0,13,6,2,0,2,53,70,0.159,0.243,0.286,0.529,0.238,520980
2020,9,0,42,14,4,0,2,82,111,0.196,0.261,0.294,0.555,0.248,592767
2020,5,1,8,2,2,0,2,33,45,0.154,0.267,0.359,0.626,0.276,669214
2020,4,0,13,9,1,0,1,57,72,0.162,0.208,0.221,0.429,0.194,592473
2020,7,4,27,25,3,1,2,82,124,0.274,0.339,0.372,0.711,0.315,643511
2020,4,0,7,9,3,0,1,27,44,0.325,0.386,0.475,0.861,0.374,670329
2020,3,3,13,15,2,0,1,64,88,0.22,0.273,0.28,0.553,0.25,660813
2020,3,0,27,10,2,0,4,56,75,0.222,0.253,0.417,0.67,0.284,657571
2020,25,6,89,35,15,1,13,249,344,0.204,0.276,0.383,0.659,0.287,458681
2020,7,1,65,53,10,0,10,234,315,0.238,0.257,0.368,0.625,0.269,543294
2020,11,6,30,22,12,0,13,124,188,0.275,0.34,0.573,0.913,0.383,518516
2020,17,2,55,18,9,1,5,115,167,0.223,0.311,0.399,0.71,0.31,605397
2020,17,1,72,42,12,0,6,197,275,0.233,0.284,0.35,0.634,0.278,547943
2020,21,1,122,33,6,0,7,229,297,0.167,0.229,0.265,0.494,0.222,669456
2020,25,0,73,53,16,3,6,241,344,0.245,0.299,0.37,0.669,0.293,608566
2020,18,1,40,32,10,1,13,145,220,0.279,0.341,0.532,0.873,0.369,548389
2020,26,2,72,29,8,1,4,165,235,0.203,0.298,0.309,0.607,0.275,543243
2020,16,3,49,23,4,0,6,118,170,0.219,0.306,0.364,0.67,0.297,656427
2020,7,4,52,31,10,2,8,137,199,0.271,0.312,0.473,0.785,0.334,543135
2020,22,5,60,33,17,2,15,177,271,0.275,0.347,0.545,0.892,0.376,571510
2020,17,1,39,23,8,0,4,121,174,0.224,0.305,0.353,0.658,0.292,645261
2020,18,4,91,37,8,1,9,216,293,0.203,0.263,0.339,0.602,0.264,605540
2020,23,1,60,37,9,1,10,156,237,0.268,0.342,0.46,0.802,0.346,593423
2020,14,2,59,32,12,2,14,172,248,0.259,0.306,0.509,0.815,0.343,663978
2020,28,2,97,31,8,0,8,211,288,0.182,0.267,0.306,0.573,0.257,608337
2020,21,2,96,33,12,0,9,210,287,0.205,0.268,0.352,0.62,0.272,605400
2020,11,4,42,29,9,1,4,113,171,0.276,0.339,0.423,0.762,0.332,450203
2020,26,3,68,39,9,1,8,185,271,0.236,0.317,0.38,0.697,0.307,621244
2020,7,4,64,38,13,0,8,207,277,0.222,0.253,0.361,0.614,0.265,594835
2020,1,0,7,1,0,0,2,17,21,0.15,0.19,0.45,0.64,0.264,434378
2020,19,0,104,28,12,0,7,203,269,0.188,0.245,0.32,0.565,0.248,594798
2020,7,1,8,10,1,0,0,38,57,0.224,0.333,0.245,0.578,0.275,647336
2020,2,0,1,5,3,1,1,20,32,0.333,0.375,0.6,0.975,0.408,605276
2020,18,2,70,39,14,1,9,195,278,0.244,0.299,0.411,0.71,0.306,571760
2020,22,2,57,33,10,0,10,165,242,0.243,0.318,0.427,0.745,0.323,518633
2020,16,0,81,30,10,2,8,180,246,0.217,0.268,0.383,0.651,0.28,592332
2020,6,2,40,30,12,4,9,118,181,0.318,0.348,0.59,0.938,0.392,543548
2020,13,2,25,16,7,0,2,76,116,0.248,0.345,0.376,0.721,0.322,664042
2020,25,4,41,35,16,2,5,173,260,0.251,0.335,0.403,0.738,0.324,542881
2020,11,0,18,14,3,1,3,45,77,0.318,0.416,0.53,0.946,0.406,656464
2020,11,2,25,17,0,2,3,79,114,0.218,0.307,0.347,0.654,0.291,593974
2020,4,0,26,15,5,0,1,56,81,0.273,0.309,0.377,0.686,0.299,656222
2020,8,0,23,21,4,0,4,77,114,0.274,0.325,0.425,0.75,0.325,657044
2020,9,2,47,24,7,1,8,108,159,0.27,0.321,0.493,0.814,0.346,607625
2020,17,3,30,25,4,1,3,85,138,0.28,0.384,0.407,0.791,0.352,570488
2020,2,0,37,11,2,0,1,75,91,0.157,0.176,0.213,0.389,0.171,521230
2020,3,0,17,5,4,0,2,43,57,0.204,0.246,0.389,0.635,0.271,664054
2020,14,1,31,11,4,0,1,69,100,0.188,0.31,0.271,0.581,0.272,503569
2020,6,1,18,16,7,1,4,74,109,0.275,0.321,0.48,0.801,0.341,621142
2020,5,0,14,5,0,0,0,28,38,0.152,0.263,0.152,0.415,0.208,607481
2020,10,3,34,17,4,1,1,87,123,0.209,0.293,0.291,0.584,0.266,542585
2020,1,0,5,5,1,0,2,10,19,0.444,0.474,0.833,1.307,0.543,665001
2020,10,1,20,10,5,0,4,50,80,0.275,0.375,0.522,0.897,0.383,570663
2020,6,3,31,12,6,1,1,82,111,0.196,0.261,0.304,0.565,0.252,518813
2020,12,3,34,6,4,0,3,76,104,0.146,0.269,0.292,0.561,0.257,608371
2020,2,0,5,9,1,0,1,19,32,0.367,0.406,0.5,0.906,0.393,656354
2020,2,0,3,1,1,0,0,6,10,0.25,0.4,0.375,0.775,0.352,600917
2020,5,1,25,12,6,0,2,56,82,0.263,0.317,0.421,0.738,0.32,664948
2020,7,0,38,15,0,0,5,69,96,0.225,0.281,0.393,0.674,0.292,543507
2020,3,0,5,4,2,0,1,11,21,0.389,0.476,0.667,1.143,0.48,606965
2020,5,0,19,6,3,0,0,46,60,0.164,0.233,0.218,0.451,0.208,554340
2020,19,1,30,10,1,0,4,63,98,0.192,0.357,0.359,0.716,0.326,676604
2020,0,0,1,2,0,0,0,4,6,0.333,0.333,0.333,0.666,0.294,605280
2020,19,4,26,5,1,0,3,61,93,0.129,0.344,0.271,0.615,0.299,670990
2020,5,1,3,6,3,0,0,6,21,0.6,0.714,0.8,1.514,0.63,606944
2020,7,0,16,10,6,1,4,57,85,0.269,0.329,0.526,0.855,0.36,661255
2020,5,0,21,5,1,0,2,44,57,0.154,0.228,0.288,0.516,0.23,605447
2020,2,0,5,9,2,1,1,34,49,0.277,0.306,0.426,0.732,0.313,643256
2020,8,4,31,18,2,2,2,89,125,0.212,0.288,0.319,0.607,0.272,642546
2020,4,2,31,7,5,1,0,67,86,0.162,0.221,0.25,0.471,0.211,543272
2020,3,0,6,1,1,0,2,11,18,0.267,0.389,0.733,1.122,0.454,571704
2020,11,4,4,5,2,0,4,20,46,0.355,0.565,0.806,1.371,0.552,665093
2020,5,1,12,21,3,0,1,36,67,0.41,0.463,0.508,0.971,0.425,642770
2020,5,1,7,1,0,0,3,27,37,0.129,0.27,0.419,0.689,0.298,656420
2020,3,0,33,7,4,1,2,62,79,0.184,0.215,0.342,0.557,0.237,459429
2020,10,0,24,16,9,0,3,114,152,0.197,0.25,0.324,0.574,0.251,547942
