"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,1,0,3,0,1,0,0,9,11,0.1,0.182,0.2,0.382,0.173,621450
2019,0,0,2,0,0,0,0,5,5,0,0,0,0,0,605135
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,642003
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,592865
2019,1,0,0,0,0,0,0,1,2,0,0.5,0,0.5,0.345,593423
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,433589
2019,4,0,21,5,0,0,1,39,49,0.133,0.204,0.2,0.404,0.185,607223
2019,0,0,8,2,0,0,0,22,24,0.083,0.083,0.083,0.166,0.072,668678
2019,4,0,21,2,5,0,1,38,50,0.174,0.24,0.348,0.588,0.25,656252
2019,0,0,2,1,0,0,0,6,7,0.143,0.143,0.143,0.286,0.124,606131
2019,4,0,9,4,2,1,0,19,30,0.269,0.367,0.423,0.79,0.34,642736
2019,1,0,13,0,2,0,0,21,24,0.087,0.125,0.174,0.299,0.13,623205
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,592716
2019,0,0,3,0,0,0,0,6,6,0,0,0,0,0,458708
2019,2,0,1,0,0,0,0,1,3,0,0.667,0,0.667,0.46,571946
2019,0,0,2,1,0,0,0,3,4,0.25,0.25,0.25,0.5,0.218,521655
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,622103
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,544928
2019,0,0,15,1,0,0,0,23,24,0.042,0.042,0.042,0.084,0.036,592346
2019,5,4,19,3,1,1,0,32,46,0.135,0.304,0.216,0.52,0.254,641684
2019,0,0,4,1,0,0,0,5,6,0.167,0.167,0.167,0.334,0.145,622786
2019,0,0,1,0,0,0,0,3,3,0,0,0,0,0,594987
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,554340
2019,0,0,3,1,0,0,0,5,6,0.167,0.167,0.167,0.334,0.145,543557
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,605538
2019,1,0,21,5,1,0,1,48,56,0.127,0.143,0.2,0.343,0.146,621532
2019,0,0,3,0,0,0,0,5,5,0,0,0,0,0,519008
2019,1,0,0,1,0,0,0,0,2,1,1,1,2,0.78,434538
2019,7,0,19,17,7,0,5,69,105,0.296,0.343,0.52,0.863,0.36,624512
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,663776
2019,0,0,4,4,0,0,0,10,14,0.286,0.286,0.286,0.572,0.249,664062
2019,0,0,6,0,0,0,0,11,11,0,0,0,0,0,667498
2019,0,0,9,2,0,0,0,22,24,0.083,0.083,0.083,0.166,0.072,642607
2019,1,0,4,1,0,0,0,5,7,0.167,0.286,0.167,0.453,0.223,621141
2019,14,1,26,15,4,1,1,73,109,0.223,0.33,0.319,0.649,0.291,605361
2019,2,0,8,9,1,0,0,37,49,0.213,0.245,0.234,0.479,0.213,518653
2019,0,0,2,0,0,0,0,3,3,0,0,0,0,0,429719
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,641941
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,450203
2019,0,0,0,2,0,0,0,1,3,0.667,0.667,0.667,1.334,0.58,663423
2019,1,0,2,0,0,0,0,2,3,0,0.333,0,0.333,0.23,641149
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,643493
2019,4,0,27,20,9,0,2,92,127,0.252,0.276,0.374,0.65,0.276,624431
2019,0,0,2,0,0,0,0,3,3,0,0,0,0,0,656222
