"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter"
2021,7,1,41,28,9,0,5,135,185,0.237,0.27,0.373,0.643,0.278,643289
2021,79,6,110,110,29,1,48,418,691,0.31,0.395,0.599,0.994,0.419,665489
2021,5,0,42,13,2,0,2,83,105,0.17,0.21,0.25,0.46,0.204,592444
2021,9,0,55,35,10,4,5,158,221,0.255,0.285,0.41,0.695,0.297,622682
2021,25,8,67,46,16,2,13,298,408,0.205,0.27,0.363,0.633,0.276,544369
2021,56,8,171,46,23,0,31,410,574,0.196,0.286,0.424,0.71,0.306,553993
2021,35,3,80,43,21,0,7,242,351,0.227,0.311,0.361,0.672,0.297,452678
2021,14,2,46,39,13,0,7,175,250,0.252,0.3,0.397,0.697,0.302,647304
2021,61,12,99,99,22,0,27,392,613,0.274,0.361,0.465,0.826,0.358,457759
2021,50,5,105,87,30,3,24,344,543,0.295,0.366,0.516,0.882,0.377,543063
2021,15,2,30,14,3,0,4,89,127,0.191,0.299,0.327,0.626,0.283,543305
2021,43,3,92,80,30,8,8,363,535,0.258,0.321,0.401,0.722,0.314,444482
2021,9,0,38,18,5,0,8,123,163,0.201,0.245,0.39,0.635,0.272,467092
2021,52,0,141,70,24,2,17,333,498,0.253,0.331,0.43,0.761,0.33,571976
2021,40,2,150,56,18,2,30,316,464,0.251,0.319,0.517,0.836,0.354,614177
2021,41,4,112,35,11,2,12,274,379,0.18,0.277,0.332,0.609,0.272,664238
2021,31,2,111,72,15,0,7,290,417,0.245,0.305,0.339,0.644,0.285,664761
2021,47,5,99,97,28,0,12,375,564,0.268,0.335,0.393,0.728,0.32,543333
2021,35,7,149,102,29,0,32,390,595,0.295,0.345,0.521,0.866,0.368,606192
2021,40,6,137,131,30,1,29,453,690,0.297,0.343,0.481,0.824,0.354,666182
2021,51,1,87,79,23,0,18,277,449,0.302,0.383,0.496,0.879,0.379,457763
2021,71,4,127,59,23,1,36,333,527,0.263,0.368,0.558,0.926,0.391,458015
2021,53,2,103,96,31,2,28,419,631,0.273,0.336,0.479,0.815,0.349,592518
2021,37,4,106,64,23,1,10,305,444,0.243,0.313,0.38,0.693,0.304,572233
2021,24,3,68,24,11,0,9,179,250,0.197,0.284,0.368,0.652,0.286,543768
2021,13,5,61,57,22,1,13,184,295,0.336,0.376,0.563,0.939,0.399,673357
