"pitcher","p_throws","stand","events","avg_launch_speed","avg_launch_angle","xba","woba","xwoba","iso","brl_pct"
405395,"R","L",2,92.25,12.5,0.2115,1,0.3505,1.5,0
405395,"R","R",5,95.4,13.75,0.32975,0.72,0.419,0.6,0.25
424144,"L","L",11,90.0555555555556,5.77777777777778,0.271888888888889,0.486363636363636,0.321333333333333,0.0909090909090909,0.111111111111111
424144,"L","R",13,87.7909090909091,24.3636363636364,0.342818181818182,0.484615384615385,0.393818181818182,0.230769230769231,0.0909090909090909
425794,"R","L",379,86.4595667870036,10.4512635379061,0.320259927797834,0.317150395778364,0.35356678700361,0.0976253298153034,0.0577617328519856
425794,"R","R",425,88.9735202492212,11.4236760124611,0.345707165109034,0.304117647058824,0.381158878504673,0.122352941176471,0.0623052959501558
425844,"R","L",241,89.0540404040404,5.98484848484848,0.317848484848485,0.327593360995851,0.330651515151515,0.0995850622406639,0.0252525252525253
425844,"R","R",344,88.3522727272727,17.3939393939394,0.331261363636364,0.338662790697674,0.386265151515152,0.13953488372093,0.0984848484848485
425877,"R","L",7,98.8142857142857,18.8571428571429,0.463,0.828571428571429,0.524,0.857142857142857,0.142857142857143
425877,"R","R",5,88.65,19,0.42225,0.5,0.415,0.4,0
434378,"R","L",338,86.0617924528302,17.5680751173709,0.28522641509434,0.206065088757396,0.303424528301887,0.0591715976331361,0.0424528301886792
434378,"R","R",331,88.544635193133,15.8412017167382,0.295077253218884,0.253323262839879,0.345914163090129,0.0996978851963746,0.0772532188841202
434671,"R","L",122,87.0088888888889,20.3222222222222,0.289044444444444,0.28155737704918,0.319611111111111,0.172131147540984,0.0666666666666667
434671,"R","R",168,87.7905982905983,16.7264957264957,0.315803418803419,0.35625,0.366692307692308,0.172619047619048,0.0854700854700855
444876,"R","L",5,87.75,9.5,0.08725,0.14,0.097,0,0
444876,"R","R",5,95.025,11,0.4855,0.75,0.5165,0.2,0
445276,"R","L",120,84.51,15.6714285714286,0.261128571428571,0.294166666666667,0.315642857142857,0.175,0.0857142857142857
445276,"R","R",138,86.6,27.6666666666667,0.262938271604938,0.244927536231884,0.294506172839506,0.108695652173913,0.0617283950617284
445926,"R","L",128,89.2815217391304,13,0.32804347826087,0.33671875,0.365413043478261,0.140625,0.0652173913043478
445926,"R","R",164,90.3134615384615,12.7884615384615,0.387894230769231,0.331707317073171,0.431807692307692,0.164634146341463,0.0865384615384615
446321,"L","L",56,87.0560975609756,2.85365853658537,0.324390243902439,0.319642857142857,0.32909756097561,0.0892857142857143,0.024390243902439
446321,"L","R",64,92.725,24.2,0.434725,0.40078125,0.528775,0.265625,0.125
446372,"R","L",309,86.1524017467249,18.3799126637555,0.336318777292576,0.330097087378641,0.375423580786026,0.148867313915858,0.0611353711790393
446372,"R","R",381,86.2362068965517,16.7689655172414,0.322037931034483,0.315485564304462,0.362586206896552,0.136482939632546,0.0655172413793104
448179,"L","L",72,82.11875,12.9375,0.283541666666667,0.322916666666667,0.307270833333333,0.0833333333333333,0.0416666666666667
448179,"L","R",454,88.2733128834356,14.4754601226994,0.312131901840491,0.334140969162996,0.369168711656442,0.171806167400881,0.0889570552147239
448281,"L","L",9,97.5333333333333,15.5,0.266,0.138888888888889,0.342833333333333,0.111111111111111,0.166666666666667
448281,"L","R",8,93.32,35.4,0.1098,0,0.123,0,0
450203,"R","L",365,89.6091324200913,16.6575342465753,0.316452054794521,0.335616438356164,0.387547945205479,0.189041095890411,0.100456621004566
450203,"R","R",364,88.4841628959276,10.6923076923077,0.350683257918552,0.314148351648352,0.390357466063348,0.123626373626374,0.0723981900452489
453178,"R","L",85,92.1614035087719,28.0701754385965,0.325561403508772,0.335294117647059,0.415473684210526,0.188235294117647,0.157894736842105
453178,"R","R",145,92.1952830188679,18.0943396226415,0.388764150943396,0.392068965517241,0.449075471698113,0.206896551724138,0.10377358490566
453268,"R","L",136,89.469512195122,6.25609756097561,0.296914634146341,0.247794117647059,0.329939024390244,0.0882352941176471,0.0731707317073171
453268,"R","R",108,84.6261538461538,9.12121212121212,0.215292307692308,0.239351851851852,0.221830769230769,0.0555555555555556,0.0153846153846154
453286,"R","L",260,87.5751592356688,21.4777070063694,0.307490445859873,0.2775,0.371484076433121,0.134615384615385,0.089171974522293
453286,"R","R",306,86.3522842639594,19.8680203045685,0.297553299492386,0.241993464052288,0.334598984771574,0.0784313725490196,0.0710659898477157
453343,"R","L",111,88.225,16.2125,0.341875,0.352702702702703,0.3602,0.126126126126126,0.0625
453343,"R","R",135,89.8357798165138,5.45871559633028,0.324330275229358,0.307407407407407,0.357504587155963,0.0814814814814815,0.073394495412844
455119,"R","L",105,86.4028571428571,13.2285714285714,0.317685714285714,0.29,0.352542857142857,0.142857142857143,0.0714285714285714
455119,"R","R",120,88.6875,11.125,0.316930555555556,0.285,0.370888888888889,0.133333333333333,0.0972222222222222
456034,"L","L",62,86.7063829787234,3.70212765957447,0.279340425531915,0.311290322580645,0.316468085106383,0.145161290322581,0.0638297872340425
456034,"L","R",103,90.6821917808219,8,0.358712328767123,0.310194174757282,0.41241095890411,0.184466019417476,0.0821917808219178
456501,"R","L",297,88.1188034188034,14.0470085470085,0.313183760683761,0.327946127946128,0.342739316239316,0.134680134680135,0.0726495726495727
456501,"R","R",354,86.3310218978102,11.8868613138686,0.310737226277372,0.305367231638418,0.347569343065693,0.129943502824859,0.0693430656934307
456713,"R","L",92,89.6055555555556,16.0185185185185,0.249111111111111,0.328260869565217,0.277555555555556,0.173913043478261,0.037037037037037
456713,"R","R",151,89.5702127659575,13.6736842105263,0.293010638297872,0.272847682119205,0.348723404255319,0.139072847682119,0.0638297872340425
458677,"L","L",7,98.275,12.25,0.46375,0.357142857142857,0.542,0.285714285714286,0.25
458677,"L","R",6,83.85,-3,0.167,0.15,0.1515,0,0
458681,"R","L",289,87.9752336448598,15.5841121495327,0.309327102803738,0.328892733564014,0.347588785046729,0.162629757785467,0.0700934579439252
458681,"R","R",223,88.3166666666667,12.2152777777778,0.347263888888889,0.306502242152466,0.389819444444444,0.134529147982063,0.0625
459429,"L","L",53,90.9133333333333,20.8222222222222,0.336822222222222,0.386792452830189,0.421688888888889,0.207547169811321,0.133333333333333
459429,"L","R",109,89.1432098765432,22.6296296296296,0.29437037037037,0.33394495412844,0.363654320987654,0.18348623853211,0.0987654320987654
461325,"R","L",13,82.3,11.8571428571429,0.202,0.215384615384615,0.253142857142857,0,0.142857142857143
461325,"R","R",15,77.51,16.5,0.2318,0.62,0.2523,0.333333333333333,0
468504,"R","L",101,89.477027027027,13.3378378378378,0.323054054054054,0.364356435643564,0.368418918918919,0.168316831683168,0.0945945945945946
468504,"R","R",118,89.2178571428571,10.3333333333333,0.300345238095238,0.399152542372881,0.349464285714286,0.203389830508475,0.0476190476190476
471911,"R","L",283,90.0225130890052,6.86387434554974,0.346052356020942,0.317844522968198,0.406916230366492,0.15547703180212,0.0890052356020942
471911,"R","R",361,86.8278225806452,11.4233870967742,0.331514170040486,0.343351800554017,0.358230769230769,0.130193905817175,0.0524193548387097
472610,"R","L",107,92.3957142857143,3.65714285714286,0.3345,0.324766355140187,0.3625,0.0747663551401869,0.0857142857142857
472610,"R","R",152,85.4474226804124,8.07142857142857,0.282298969072165,0.279276315789474,0.279525773195876,0.0526315789473684,0.0103092783505155
475479,"R","L",115,88.0313253012048,14.0602409638554,0.319566265060241,0.281304347826087,0.337024096385542,0.0695652173913043,0.0481927710843374
475479,"R","R",158,86.9595505617978,16.876404494382,0.31252808988764,0.296518987341772,0.347685393258427,0.069620253164557,0.0561797752808989
476595,"L","L",92,85.6071428571429,17.8928571428571,0.377553571428571,0.316304347826087,0.393767857142857,0.0543478260869565,0.0535714285714286
476595,"L","R",158,85.0522935779817,17.2935779816514,0.318623853211009,0.331329113924051,0.33848623853211,0.126582278481013,0.055045871559633
477132,"L","L",81,84.3942307692308,11.0961538461538,0.304076923076923,0.28641975308642,0.315634615384615,0.0246913580246914,0.0384615384615385
477132,"L","R",412,87.2996389891697,11.3790613718412,0.296339350180505,0.251577669902913,0.317068592057762,0.111650485436893,0.0397111913357401
