"batter","player_name","stand","p_throws","events","avg_launch_speed","avg_launch_angle","xba","woba","xwoba","iso","brl_pct"
405395,"Pujols, Albert","R","L",130,91.9020202020202,15.6868686868687,0.383181818181818,0.474615384615385,0.482888888888889,0.346153846153846,0.151515151515152
405395,"Pujols, Albert","R","R",220,90.7861635220126,16.7672955974843,0.299377358490566,0.335454545454545,0.357704402515723,0.186363636363636,0.0880503144654088
408234,"Cabrera, Miguel","R","L",109,89.8813333333333,6.70666666666667,0.354786666666667,0.308715596330275,0.377933333333333,0.036697247706422,0.0533333333333333
408234,"Cabrera, Miguel","R","R",322,89.8995535714286,4.45089285714286,0.322683035714286,0.272204968944099,0.335174107142857,0.0652173913043478,0.0401785714285714
425877,"Molina, Yadier","R","L",66,85.1754716981132,16.4528301886792,0.313264150943396,0.299242424242424,0.318264150943396,0.0606060606060606,0.0188679245283019
425877,"Molina, Yadier","R","R",206,84.5076470588235,17.0529411764706,0.275441176470588,0.225970873786408,0.292852941176471,0.0922330097087379,0.0294117647058824
429664,"Canó, Robinson","L","L",9,76.625,-13.375,0.28675,0.2,0.296875,0,0
429664,"Canó, Robinson","L","R",95,88.9716417910448,7.47761194029851,0.292238805970149,0.186842105263158,0.307402985074627,0.0421052631578947,0.0298507462686567
435559,"Suzuki, Kurt","R","L",43,78.6666666666667,12.1333333333333,0.188566666666667,0.224418604651163,0.207133333333333,0.0697674418604651,0.0333333333333333
435559,"Suzuki, Kurt","R","R",116,87.0686746987952,27.5542168674699,0.265096385542169,0.273275862068966,0.281084337349398,0.112068965517241,0.0240963855421687
443558,"Cruz, Nelson","R","L",174,90.1495726495726,7.12820512820513,0.332222222222222,0.346264367816092,0.394495726495727,0.114942528735632,0.11965811965812
443558,"Cruz, Nelson","R","R",332,91.4259615384615,7.2200956937799,0.341120192307692,0.28539156626506,0.381033653846154,0.0783132530120482,0.0817307692307692
444482,"Peralta, David","L","L",73,86.54,14.7333333333333,0.284288888888889,0.21986301369863,0.294577777777778,0.0547945205479452,0.0222222222222222
444482,"Peralta, David","L","R",412,90.9318181818182,15.1293706293706,0.343297202797203,0.334101941747573,0.387458041958042,0.16504854368932,0.0874125874125874
444489,"Piña, Manny","R","L",4,69.925,-12.25,0.1445,0,0.133,0,0
444489,"Piña, Manny","R","R",13,87.2,18.4444444444444,0.242666666666667,0.246153846153846,0.331444444444444,0,0.111111111111111
444876,"Escobar, Alcides","R","L",45,81.4129032258064,19.0322580645161,0.250161290322581,0.246666666666667,0.253838709677419,0.0444444444444444,0.032258064516129
444876,"Escobar, Alcides","R","R",87,81.9590163934426,13.0655737704918,0.294770491803279,0.250574712643678,0.287360655737705,0.0689655172413793,0
446334,"Longoria, Evan","R","L",127,91.6523255813953,19.9767441860465,0.37546511627907,0.350787401574803,0.470802325581395,0.181102362204724,0.127906976744186
446334,"Longoria, Evan","R","R",169,90.657,16.57,0.30937,0.323076923076923,0.37082,0.189349112426035,0.09
453568,"Blackmon, Charlie","L","L",171,84.0962962962963,7.87407407407407,0.316837037037037,0.353216374269006,0.323925925925926,0.0935672514619883,0.0222222222222222
453568,"Blackmon, Charlie","L","R",402,86.1621993127148,13.0342465753425,0.315883161512027,0.319154228855721,0.344776632302406,0.164179104477612,0.0549828178694158
455117,"Maldonado, Martín","R","L",110,87.469014084507,15.4788732394366,0.319225352112676,0.337727272727273,0.409859154929577,0.245454545454545,0.126760563380282
455117,"Maldonado, Martín","R","R",269,87.0364197530864,13.6543209876543,0.268234567901235,0.238104089219331,0.303327160493827,0.111524163568773,0.0617283950617284
455139,"Chirinos, Robinson","R","L",98,85.9423728813559,15.6271186440678,0.30135593220339,0.299489795918367,0.345491525423729,0.112244897959184,0.0847457627118644
455139,"Chirinos, Robinson","R","R",122,81.3802816901408,19.4929577464789,0.230774647887324,0.250409836065574,0.262169014084507,0.0819672131147541,0.0563380281690141
456715,"Cain, Lorenzo","R","L",50,88.3028571428571,11.2285714285714,0.224457142857143,0.156,0.214257142857143,0.04,0
456715,"Cain, Lorenzo","R","R",107,87.7386666666667,0.333333333333333,0.264293333333333,0.271495327102804,0.268426666666667,0.0560747663551402,0
456781,"Solano, Donovan","R","L",89,88.784375,12.6875,0.379421875,0.35,0.393578125,0.112359550561798,0.03125
456781,"Solano, Donovan","R","R",215,87.9453333333333,9.76666666666667,0.334186666666667,0.319767441860465,0.35986,0.0837209302325581,0.06
457705,"McCutchen, Andrew","R","L",165,89.7046296296296,14.2037037037037,0.347490740740741,0.328484848484848,0.389351851851852,0.187878787878788,0.0648148148148148
457705,"McCutchen, Andrew","R","R",414,88.815034965035,12.7491289198606,0.311153846153846,0.309782608695652,0.355031468531469,0.108695652173913,0.0909090909090909
457708,"Upton, Justin","R","L",26,88.5,34.2857142857143,0.295071428571429,0.248076923076923,0.322857142857143,0.153846153846154,0.0714285714285714
457708,"Upton, Justin","R","R",31,88.58,15.7,0.3199,0.245161290322581,0.3094,0,0
457759,"Turner, Justin","R","L",147,87.9932692307692,18.6442307692308,0.330884615384615,0.342176870748299,0.367403846153846,0.102040816326531,0.0673076923076923
457759,"Turner, Justin","R","R",384,90.0043321299639,18.0830324909747,0.328873646209386,0.353385416666667,0.369332129963899,0.15625,0.0685920577617329
458015,"Votto, Joey","L","L",121,88.3345454545454,14.2545454545455,0.334454545454545,0.332231404958678,0.368581818181818,0.0991735537190083,0.0727272727272727
458015,"Votto, Joey","L","R",255,90.1803571428571,14.25,0.316398809523809,0.309019607843137,0.38527380952381,0.16078431372549,0.125
