batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso
572228,"Voit, Luke",R,R,2,59.6,-22,0.057,0.35,0.058,0
572233,"Walker, Christian",R,R,4,88.96666666666667,42.333333333333336,0.08366666666666667,0.175,0.09833333333333334,0
575929,"Contreras, Willson",R,R,4,95.95,48,0.1875,0.175,0.3585,0
592192,"Canha, Mark",R,L,2,NA,NA,NA,0.35,NA,0
592192,"Canha, Mark",R,R,2,97.45,9.5,0.717,0.9,0.6735,0
592273,"Drury, Brandon",R,L,2,71.65,36.5,0.17700000000000002,0.45,0.16649999999999998,0
592273,"Drury, Brandon",R,R,2,95.8,29,0.214,1,0.347,1.5
592325,"Gamel, Ben",L,L,1,NA,NA,NA,0.7,NA,0
592325,"Gamel, Ben",L,R,2,101.9,23,0.651,0,1.012,0
592518,"Machado, Manny",R,L,2,96.5,41,0.04,0.35,0.066,0
592518,"Machado, Manny",R,R,2,78.75,70.5,0.023,0,0.023,0
592669,"Renfroe, Hunter",R,R,4,77.06666666666666,28,0.25266666666666665,0.225,0.23366666666666666,0
592696,"Rosario, Eddie",L,L,1,93.6,17,0.583,0,0.575,0
592696,"Rosario, Eddie",L,R,3,96.2,25,0.26,0.2333333333333333,0.366,0
592885,"Yelich, Christian",L,R,5,96.1,11.666666666666666,0.203,0.13999999999999999,0.183,0
593160,"Merrifield, Whit",R,R,4,79.95,-1,0.48700000000000004,0.225,0.461,0
594807,"Duvall, Adam",R,R,4,NA,NA,NA,0.175,NA,0
595777,"Profar, Jurickson",L,R,1,91.2,15,0.92,0.9,0.895,0
595777,"Profar, Jurickson",R,L,3,90.9,69,0.014,0.2333333333333333,0.016,0
595978,"Hedges, Austin",R,L,1,79.7,30,0.1,0,0.09,0
595978,"Hedges, Austin",R,R,3,73.13333333333334,38.666666666666664,0.08866666666666667,0,0.08299999999999999,0
596019,"Lindor, Francisco",L,R,3,96.1,28,0.246,0.3,0.3175,0
596019,"Lindor, Francisco",R,L,2,NA,NA,NA,0,NA,0
596129,"Vogelbach, Daniel",L,R,3,83.55,7.5,0.04,0,0.041999999999999996,0
596748,"Franco, Maikel",R,R,4,88.33333333333333,11.333333333333334,0.06766666666666667,0,0.061,0
605137,"Bell, Josh",L,R,4,73.5,18.666666666666668,0.17400000000000002,0.225,0.16033333333333333,0
605170,"Caratini, Victor",L,R,1,104.2,13,0.84,1.25,0.865,1
605204,"Davis, J.D.",R,L,2,100.3,8,0.671,0.35,0.622,0
605204,"Davis, J.D.",R,R,3,88.8,7.5,0.45299999999999996,0.4166666666666667,0.7145,0.3333333333333333
606157,"Aquino, Aristides",R,L,3,67.1,21,0.771,0.3,0.702,0
606157,"Aquino, Aristides",R,R,2,NA,NA,NA,0,NA,0
606466,"Marte, Ketel",L,R,4,86.4,-15,0.13,0,0.11699999999999999,0
607054,"Peterson, Jace",L,R,2,97,22,0.231,0.35,0.271,0
608070,"Ramírez, José",L,R,4,93.86666666666666,18,0.5216666666666666,0.3125,0.5453333333333333,0.25
608324,"Bregman, Alex",R,L,1,78,-44,0.109,0,0.098,0
