pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
502179,R,L,10,94.9,-3.8,0.4412,0.32,0.4906,0,0.2
502179,R,R,19,91.0923076923077,29.615384615384617,0.39415384615384613,0.3684210526315789,0.5033076923076923,0.2631578947368421,0.15384615384615385
502202,R,L,2,82.1,-17.5,0.4555,0,0.42500000000000004,0,0
502202,R,R,8,92.62,6.8,0.3932,0.225,0.3714,0,0
503285,R,L,3,69.44999999999999,12.5,0.2255,0,0.203,0,0
503285,R,R,4,67.5,-13.5,0.0775,0,0.0775,0,0
506433,R,L,24,93.66428571428571,13.142857142857142,0.32485714285714284,0.3416666666666667,0.4010714285714286,0.125,0.07142857142857142
506433,R,R,13,89.9090909090909,25.272727272727273,0.253,0.38461538461538464,0.258,0,0
517008,R,L,6,95.33333333333334,-7.333333333333333,0.428,0.26666666666666666,0.5526666666666666,0,0
517008,R,R,7,78.04285714285714,4.142857142857143,0.30342857142857144,0.5142857142857143,0.31357142857142856,0,0
518489,R,L,4,100.5,5.5,0.596,0.225,0.5605,0,0
518489,R,R,6,94.94999999999999,13.75,0.4585,0.48333333333333334,0.7434999999999999,0.5,0.25
518516,L,L,12,92.05,26.1,0.3646,0.29583333333333334,0.3913,0.08333333333333333,0
518516,L,R,25,87.69411764705882,26.529411764705884,0.21535294117647058,0.35,0.2861764705882353,0.16,0.058823529411764705
518553,R,L,5,98.25,24,0.2185,0.42,0.2015,0,0
518553,R,R,5,63.9,14.333333333333334,0.181,0.18,0.16633333333333333,0,0
518617,L,L,4,69.6,-8,0.077,0.175,0.07,0,0
518617,L,R,5,103.5,7,0.614,0.32,0.553,0,0
518748,R,L,4,87.75,14.5,0.6225,0.225,0.5825,0,0
518748,R,R,3,79.05,20.5,0.497,0.5333333333333333,0.457,0,0
518813,R,L,3,94.69999999999999,-9.5,0.31999999999999995,0,0.3325,0,0
518813,R,R,12,97.22857142857143,7.857142857142857,0.558,0.5416666666666666,0.7814285714285714,0.5,0.42857142857142855
518876,R,L,15,84.56666666666666,12.222222222222221,0.2544444444444445,0.2733333333333333,0.255,0,0
518876,R,R,24,92.65833333333333,8.333333333333334,0.4255,0.24583333333333335,0.436,0,0.08333333333333333
518886,R,L,3,89.86666666666667,33,0.3993333333333334,0.4166666666666667,0.39433333333333337,0.3333333333333333,0
518886,R,R,5,82.03333333333333,-21,0.30966666666666665,0.25,0.44099999999999995,0.2,0.3333333333333333
519008,L,L,1,98.2,12,0.906,0.9,0.873,0,0
519008,L,R,4,104.36666666666667,-6,0.244,0.3125,0.25066666666666665,0.25,0
519151,R,L,10,78.2375,-9.625,0.235125,0.46,0.248875,0,0
519151,R,R,5,81.7,12,0.3666666666666667,0.18,0.408,0,0
519293,L,L,6,81.82,19.4,0.21660000000000001,0.15,0.207,0,0
519293,L,R,7,91.03999999999999,31.2,0.2212,0.5142857142857142,0.372,0.42857142857142855,0.2
519326,R,L,4,101.06666666666666,27,0.521,0.675,0.944,0.75,0.3333333333333333
519326,R,R,9,92.87142857142857,23.285714285714285,0.31157142857142855,0.45555555555555555,0.342,0.2222222222222222,0
520980,R,L,7,88.11428571428571,15.428571428571429,0.488,0.7428571428571429,0.5348571428571428,0.2857142857142857,0.14285714285714285
520980,R,R,6,91.9,-10,0.34700000000000003,0.5,0.325,0,0
521230,R,L,10,81.95714285714286,-3.4285714285714284,0.33614285714285713,0.43,0.34785714285714286,0.2,0
521230,R,R,12,93.13333333333334,24.166666666666668,0.523,0.5541666666666667,0.7841666666666667,0.3333333333333333,0.5
527048,L,L,3,83.15,10,0.5085,0.6,0.4795,0,0
